"id","nome","partido"
204471,"Mara Rocha","MDB"
204472,"José Medeiros","PL"
204473,"General Girão","PL"
204474,"Juarez Costa","MDB"
204475,"Ottaci Nascimento","SOLIDARIEDADE"
204476,"Chiquinho Brazão","UNIÃO"
204477,"Felício Laterça","PP"
204478,"Vinicius Farah","UNIÃO"
204479,"Nicoletti","UNIÃO"
204480,"Rogério Correia","PT"
204481,"Dr. Jaziel","PL"
204482,"Euclydes Pettersen","PSC"
204483,"Vilson da Fetaemg","PSB"
204484,"General Peternelli","UNIÃO"
204485,"Luiz Carlos Motta","PL"
204486,"Mauro Benevides Filho","PDT"
204487,"Capitão Wagner","UNIÃO"
204488,"Célio Studart","PSD"
204489,"Robério Monteiro","PDT"
204490,"Charlles Evangelista","PP"
204491,"Gilberto Abramo","REPUBLICANOS"
204492,"Paulo Guedes","PT"
204494,"Fred Costa","PATRIOTA"
204495,"Airton Faleiro","PT"
204496,"Celso Sabino","UNIÃO"
204497,"Júnior Ferrari","PSD"
204498,"Olival Marques","MDB"
204499,"Cássio Andrade","PSB"
204500,"Eduardo Costa","PSD"
204501,"Alencar Santana","PT"
204502,"Bozzella","UNIÃO"
204503,"Alexandre Padilha","PT"
204504,"Cezinha de Madureira","PSD"
204505,"Vavá Martins","REPUBLICANOS"
204506,"Marcos Pereira","REPUBLICANOS"
204507,"Carla Zambelli","PL"
204508,"Igor Timo","PODE"
204509,"Áurea Carolina","PSOL"
204510,"Franco Cartafina","PP"
204511,"David Soares","UNIÃO"
204512,"Delegado Marcelo Freitas","UNIÃO"
204513,"Guiga Peixoto","PSC"
204514,"Coronel Tadeu","PL"
204515,"André Janones","AVANTE"
204516,"Alexis Fonteyne","NOVO"
204517,"Zé Vitor","PL"
204518,"Dr. Frederico","PATRIOTA"
204519,"Tiago Mitraud","NOVO"
204520,"Junio Amaral","PL"
204521,"Abou Anni","UNIÃO"
204522,"Marco Bertaiolli","PSD"
204523,"Lucas Gonzalez","NOVO"
204524,"Pinheirinho","PP"
204525,"Rosana Valle","PL"
204526,"Luiz Philippe de Orleans e Bragança","PL"
204527,"Geninho Zuliani","UNIÃO"
204528,"Adriana Ventura","NOVO"
204529,"Policial Katia Sastre","PL"
204530,"Rodrigo Agostinho","PSB"
204531,"Guilherme Derrite","PL"
204532,"Vinicius Poit","NOVO"
204533,"Idilvan Alencar","PDT"
204534,"Tabata Amaral","PSB"
204535,"Sâmia Bomfim","PSOL"
204536,"Kim Kataguiri","UNIÃO"
204537,"Enrico Misasi","MDB"
204538,"Paulo Bengtson","PTB"
204539,"Hercílio Coelho Diniz","MDB"
204540,"Maria Rosas","REPUBLICANOS"
204541,"Eduardo Bismarck","PDT"
204542,"Denis Bezerra","PSB"
204543,"Luiz Flávio Gomes","PSB"
204544,"Alexandre Frota","PROS"
204545,"Alê Silva","REPUBLICANOS"
204546,"Joice Hasselmann","PSDB"
204547,"Léo Motta","REPUBLICANOS"
204548,"Heitor Freire","UNIÃO"
204549,"AJ Albuquerque","PP"
204550,"Júnior Mano","PL"
204551,"Bosco Saraiva","SOLIDARIEDADE"
204552,"Eduardo Braide","PODE"
204553,"Pastor Sargento Isidório","AVANTE"
204554,"Abílio Santana","PSC"
204555,"José Ricardo","PT"
204556,"Marcelo Ramos","PSD"
204557,"Sidney Leite","PSD"
204558,"Marcelo Nilo","REPUBLICANOS"
204559,"Zé Neto","PT"
204560,"Adolfo Viana","PSDB"
204561,"Bira do Pindaré","PSB"
204562,"Edilázio Júnior","PSD"
204563,"Josimar Maranhãozinho","PL"
204564,"Igor Kannário","UNIÃO"
204565,"Professora Dayane Pimentel","UNIÃO"
204566,"Marreca Filho","PATRIOTA"
204567,"Raimundo Costa","PODE"
